Date,AAPL,AMAT,AMGN,CMCSA,INTC,KLAC,PCAR,CTAS,PAYX,LRCX,ADSK,ROST,MNST,MSFT,ADBE,FAST,EA,CSCO,REGN,IDXX,VRTX,BIIB,ODFL,QCOM,GILD,SNPS,SBUX,INTU,MCHP,ORLY,COST,CPRT,DLTR,ASML,ANSS,TTWO,AMZN,CTSH,CSGP,NVDA,BKNG,ON,ISRG,MRVL,ILMN,ADI,AEP,AMD,ADP,AZN,CDNS,CSX,HON,MAR,MU,XEL,EXC,PEP,ROP,TXN,MDLZ,NFLX,GOOGL,DXCM,SMCI,TMUS,LULU,MELI,KDP,AVGO,VRSK,FTNT,CHTR,TSLA,NXPI,FANG,META,PANW,WDAY,CDW,GOOG,PYPL,KHC,TEAM,CCEP,TTD,BKR,MDB,ZS,PDD,MRNA,WBD,LIN,^IXIC
2019-01-02,39.47999954223633,33.47999954223633,191.89999389648438,34.369998931884766,47.08000183105469,90.91000366210938,38.573333740234375,41.872501373291016,65.06999969482422,13.829999923706055,128.9600067138672,83.77999877929688,24.3799991607666,101.12000274658203,224.57000732421875,25.704999923706055,80.37000274658203,42.95000076293945,372.44000244140625,182.4600067138672,164.0800018310547,304.69000244140625,41.13999938964844,57.400001525878906,63.439998626708984,84.05000305175781,64.31999969482422,194.47000122070312,35.67499923706055,341.1499938964844,204.75999450683594,11.920000076293945,91.19999694824219,156.3000030517578,143.00999450683594,104.01000213623047,76.95649719238281,63.09000015258789,33.47200012207031,3.4054999351501465,1721.699951171875,16.780000686645508,155.3433380126953,16.5,286.498046875,85.91999816894531,72.94000244140625,18.829999923706055,130.13999938964844,37.79999923706055,43.22999954223633,20.649999618530273,131.8300018310547,107.45999908447266,32.75,48.220001220703125,31.433666229248047,109.27999877929688,266.6099853515625,94.44999694824219,39.88999938964844,267.6600036621094,52.73400115966797,28.795000076293945,1.5099999904632568,65.26000213623047,123.3499984741211,298.010009765625,25.280000686645508,25.35099983215332,108.6500015258789,13.935999870300293,287.989990234375,20.674667358398438,75.02999877929688,95.22000122070312,135.67999267578125,61.06999969482422,159.74000549316406,79.16999816894531,52.29249954223633,85.75,43.34000015258789,89.02999877929688,44.939998626708984,11.616000175476074,21.049999237060547,79.94999694824219,39.810001373291016,22.209999084472656,15.329999923706055,25.829999923706055,157.1999969482422,6665.93994140625
2019-01-03,35.54750061035156,31.540000915527344,188.97999572753906,34.63999938964844,44.4900016784668,85.80999755859375,37.68000030517578,41.20249938964844,63.970001220703125,13.163000106811523,121.8499984741211,83.08000183105469,24,97.4000015258789,215.6999969482422,24.975000381469727,78.70999908447266,41.06999969482422,372.0799865722656,178.02000427246094,163.72999572753906,307,39.630001068115234,55.70000076293945,65.25,81.11000061035156,61.529998779296875,188.52000427246094,33.15999984741211,346.1300048828125,200.4199981689453,11.72249984741211,90.76000213623047,147.67999267578125,137.63999938964844,99.1500015258789,75.01399993896484,61.099998474121094,32.72800064086914,3.1997499465942383,1663.1199951171875,15.649999618530273,150.0800018310547,15.770000457763672,276.498046875,80.7300033569336,72.7699966430664,17.049999237060547,126.20999908447266,38.33000183105469,41.529998779296875,20.32666778564453,130.07000732421875,101.73999786376953,31,48.029998779296875,31.469329833984375,108.26000213623047,258.79998779296875,88.87999725341797,39.7400016784668,271.20001220703125,51.27349853515625,28.065000534057617,1.5700000524520874,65.0199966430664,124.36000061035156,296.5899963378906,25.040000915527344,23.09600067138672,105.33000183105469,13.513999938964844,287.5,20.02400016784668,71.97000122070312,96.16000366210938,131.74000549316406,59.900001525878906,154.02000427246094,77.12999725341797,50.803001403808594,82.08999633789062,43.310001373291016,84.4800033569336,44.47999954223633,10.956000328063965,20.90999984741211,75.88999938964844,39.31999969482422,21.520000457763672,15.5,25.68000030517578,152.2899932861328,6463.5
2019-01-04,37.064998626708984,33.70000076293945,195.44000244140625,35.810001373291016,47.220001220703125,91.30000305175781,39.35333251953125,43.13999938964844,66.19999694824219,13.805999755859375,128.27999877929688,85.33999633789062,24.895000457763672,101.93000030517578,226.19000244140625,26,84.41999816894531,42.91999816894531,397.54998779296875,187.42999267578125,172.6999969482422,318.3299865722656,40.996665954589844,56.599998474121094,68.25,83.9000015258789,63.56999969482422,196,34.505001068115234,341.82000732421875,206.24000549316406,12.140000343322754,92.88999938964844,154.07000732421875,143.66000366210938,101.69999694824219,78.76950073242188,63.70000076293945,33.861000061035156,3.404750108718872,1717.550048828125,16.5,157.22666931152344,16.239999771118164,294.4455261230469,82.69000244140625,73.44000244140625,19,131.24000549316406,39.18000030517578,43.2599983215332,20.93000030517578,134.6199951171875,107.80999755859375,32.70000076293945,48.5,31.82596206665039,110.4800033569336,267.489990234375,92.9000015258789,40.84000015258789,297.57000732421875,53.903499603271484,29.059999465942383,1.555999994277954,67.48999786376953,128.5500030517578,315.3299865722656,25.559999465942383,23.322999954223633,109.9800033569336,13.381999969482422,302.739990234375,21.179332733154297,75.44999694824219,99.93000030517578,137.9499969482422,61.46333312988281,163.35000610351562,77.87999725341797,53.535499572753906,86.2699966430664,44.4900016784668,87.08999633789062,45.06999969482422,11.791999816894531,21.959999084472656,81.7300033569336,41.77000045776367,22.690000534057617,16.959999084472656,26.139999389648438,156.6300048828125,6738.85986328125
2019-01-07,36.98249816894531,34.29999923706055,198.07000732421875,35.43000030517578,47.439998626708984,92.5999984741211,39.30666732788086,43.212501525878906,65.8499984741211,13.928999900817871,132.72000122070312,88.93000030517578,24.864999771118164,102.05999755859375,229.25999450683594,26.190000534057617,87.58999633789062,43.209999084472656,396.6300048828125,186.88999938964844,175.85000610351562,322.3999938964844,41.470001220703125,56.439998626708984,68.55999755859375,85.76000213623047,63.56999969482422,198.99000549316406,35.51499938964844,339.69000244140625,207,12.207500457763672,97.95999908447266,157.58999633789062,147.32000732421875,104.41000366210938,81.47550201416016,63.599998474121094,34.18600082397461,3.5850000381469727,1711.8199462890625,17,159.47999572753906,16.610000610351562,299.50390625,83.20999908447266,73.02999877929688,20.56999969482422,130.52999877929688,38.779998779296875,43.41999816894531,20.816667556762695,135.3699951171875,108.01000213623047,34,48.290000915527344,31.883024215698242,109.52999877929688,269.07000732421875,94.5,41.119998931884766,315.3399963378906,53.79600143432617,32.48749923706055,1.5700000524520874,68.44000244140625,134.10000610351562,328.94000244140625,25.8799991607666,23.79800033569336,110.08999633789062,14.017999649047852,301.4700012207031,22.33066749572754,76.01000213623047,102.62999725341797,138.0500030517578,62.45000076293945,163.5,77.56999969482422,53.419498443603516,86.93000030517578,45.33000183105469,92.70999908447266,46.029998779296875,12.456999778747559,22.549999237060547,85.69999694824219,43.560001373291016,23.209999084472656,16.270000457763672,26.530000686645508,156.49000549316406,6823.47021484375
2019-01-08,37.6875,32.90999984741211,200.61000061035156,35.720001220703125,47.7400016784668,91.12999725341797,39.686668395996094,43.68000030517578,66.3499984741211,13.692999839782715,133.8699951171875,91.54000091552734,26.415000915527344,102.80000305175781,232.67999267578125,26.8700008392334,89.0199966430664,43.560001373291016,397.260009765625,189.2899932861328,178.19000244140625,324.44000244140625,42.70000076293945,55.95000076293945,68.08999633789062,86.0999984741211,63.619998931884766,203.75999450683594,36.47999954223633,336.07000732421875,208.5500030517578,12.407500267028809,98.5999984741211,156.42999267578125,148.0500030517578,107.91999816894531,82.8290023803711,64.31999969482422,34.49300003051758,3.4957499504089355,1686.9200439453125,16.540000915527344,160.99667358398438,16.690000534057617,285.7490234375,85.23999786376953,73.93000030517578,20.75,131.3000030517578,38.130001068115234,43.66999816894531,21.116666793823242,135.08999633789062,109.76000213623047,33.7400016784668,48.849998474121094,32.375179290771484,110.58000183105469,269.1400146484375,94.37999725341797,42.08000183105469,320.2699890136719,54.26850128173828,32.880001068115234,1.559999942779541,67.7699966430664,135.86000061035156,328.489990234375,25.889999389648438,23.60700035095215,111.06999969482422,14.3100004196167,300.7099914550781,22.356666564941406,76.44000244140625,104.94999694824219,142.52999877929688,63.47666549682617,166.9499969482422,80.2699966430664,53.81399917602539,88.69999694824219,45.369998931884766,94.81999969482422,46.720001220703125,12.805000305175781,23.209999084472656,89.98999786376953,43.97999954223633,24,16.950000762939453,27.239999771118164,158.14999389648438,6897
2019-01-09,38.32749938964844,34.29999923706055,200.3699951171875,36.060001373291016,48.0099983215332,93.4800033569336,39.086666107177734,44.0625,66.30999755859375,14.399999618530273,136.77000427246094,90.33999633789062,26.665000915527344,104.2699966430664,235.42999267578125,26.94499969482422,88.91000366210938,43.31999969482422,399.5799865722656,192.22000122070312,182.3000030517578,326.6300048828125,42.720001220703125,56.61000061035156,67.94000244140625,86.95999908447266,63.880001068115234,202.66000366210938,37.92499923706055,343.5400085449219,209.89999389648438,12.574999809265137,97.16999816894531,162.9199981689453,150.63999938964844,107.45999908447266,82.97100067138672,64.26000213623047,35.33599853515625,3.564500093460083,1649.489990234375,17.809999465942383,172.3699951171875,17.09000015258789,296.9260559082031,87.4000015258789,73.37000274658203,20.190000534057617,131.4199981689453,37.79999923706055,43.849998474121094,21.32666778564453,135.72000122070312,109.19999694824219,35.439998626708984,48.459999084472656,32.111270904541016,107.48999786376953,271.6499938964844,96.23999786376953,41.93000030517578,319.9599914550781,54.08250045776367,34.6875,1.5529999732971191,67.72000122070312,136,339.9599914550781,26.469999313354492,24.628000259399414,111.48999786376953,14.616000175476074,297.6400146484375,22.568666458129883,79.94000244140625,106.79000091552734,144.22999572753906,64.37000274658203,166.17999267578125,81.33000183105469,53.733001708984375,89.55000305175781,45.130001068115234,95.80999755859375,46.56999969482422,12.880000114440918,23.170000076293945,86.62000274658203,44.880001068115234,25.540000915527344,16.329999923706055,27.280000686645508,158.4600067138672,6957.080078125
2019-01-10,38.45000076293945,34.7599983215332,202.67999267578125,35.81999969482422,48.560001373291016,93.70999908447266,39.439998626708984,44.369998931884766,67.41000366210938,14.456999778747559,136.7100067138672,90.7300033569336,26.6299991607666,103.5999984741211,237.77000427246094,27.239999771118164,91.01000213623047,43.2400016784668,408.05999755859375,192.72000122070312,186.02999877929688,331.19000244140625,42.689998626708984,56.79999923706055,68.04000091552734,87.81999969482422,64.19000244140625,206.05999755859375,38.310001373291016,343.44000244140625,210.63999938964844,12.649999618530273,96.41000366210938,162.61000061035156,152.60000610351562,110,82.81099700927734,64.80999755859375,35.96200180053711,3.6307499408721924,1677.3299560546875,17.889999389648438,172.69000244140625,17.110000610351562,301.3326721191406,88.61000061035156,74.72000122070312,19.739999771118164,132.4600067138672,38.2599983215332,44.31999969482422,21.56333351135254,137.75,110.05000305175781,35.90999984741211,49.27000045776367,32.660484313964844,108.1500015258789,275.17999267578125,97.72000122070312,42.34000015258789,324.6600036621094,53.94150161743164,35.474998474121094,1.5529999732971191,67.95999908447266,131.61000061035156,339.5899963378906,26.280000686645508,24.95199966430664,112.63999938964844,14.642000198364258,292.6700134277344,22.99799919128418,80.02999877929688,106.12999725341797,144.1999969482422,65.33333587646484,167.9600067138672,81.94000244140625,53.51649856567383,90.69999694824219,45.599998474121094,95.5,46.79999923706055,12.967000007629395,23.350000381469727,75.19999694824219,45.40999984741211,26.3799991607666,16.479999542236328,26.809999465942383,161.85000610351562,6986.06982421875
2019-01-11,38.0724983215332,34.779998779296875,200.55999755859375,35.630001068115234,48.93000030517578,94.02999877929688,39.62666702270508,44.4474983215332,67.29000091552734,14.41100025177002,136.74000549316406,91.20999908447266,27.184999465942383,102.80000305175781,237.5500030517578,27.420000076293945,90.69999694824219,43.4900016784668,408.6300048828125,192.91000366210938,188.16000366210938,333.2099914550781,42.61333465576172,57.5,68.16000366210938,87.70999908447266,63.72999954223633,206.14999389648438,38.564998626708984,338.7300109863281,210.50999450683594,12.664999961853027,97.27999877929688,162.02000427246094,154.75,109.02999877929688,82.02799987792969,64.91999816894531,35.926998138427734,3.720750093460083,1665.8900146484375,18.489999771118164,168.44000244140625,17.329999923706055,298.70623779296875,90.05999755859375,74.44000244140625,20.270000457763672,131.64999389648438,36.95000076293945,44.45000076293945,21.739999771118164,137.36000061035156,109.41999816894531,36.0099983215332,49.290000915527344,32.660484313964844,108.16000366210938,273.1600036621094,98.58999633789062,42.22999954223633,337.5899963378906,53.2234992980957,35.275001525878906,1.503000020980835,69,132.16000366210938,344.95001220703125,27,25.05699920654297,112.01000213623047,14.654000282287598,294.5400085449219,23.150667190551758,79.4800033569336,104.0999984741211,143.8000030517578,65.32333374023438,167.4600067138672,80.58999633789062,52.859500885009766,90.6500015258789,45.61000061035156,95.6500015258789,47.34000015258789,12.729999542236328,23.100000381469727,74.4800033569336,45.20000076293945,26.15999984741211,17,27.1200008392334,160.2100067138672,6971.47998046875
2019-01-14,37.5,33.86000061035156,196.77999877929688,35.77000045776367,48.349998474121094,92.43000030517578,39.97999954223633,44.165000915527344,67.2300033569336,14.043000221252441,134.75,90.62999725341797,27.075000762939453,102.05000305175781,234.55999755859375,27.03499984741211,88.58000183105469,43.209999084472656,400.7300109863281,189.7899932861328,183.91000366210938,330.4200134277344,41.973331451416016,57.29999923706055,67.25,87.41000366210938,63.369998931884766,205.14999389648438,37.119998931884766,341.1499938964844,209,12.479999542236328,97.2300033569336,158.69000244140625,153.60000610351562,104.9800033569336,80.8604965209961,64.62999725341797,35.84700012207031,3.760999917984009,1692.8800048828125,17.709999084472656,167.57000732421875,17.040000915527344,291.0408630371094,87.5,73.79000091552734,20.229999542236328,130.89999389648438,35.54999923706055,44.380001068115234,21.75666618347168,137.61000061035156,108.12999725341797,34.66999816894531,48.93000030517578,32.12553405761719,107.31999969482422,271.32000732421875,96.33000183105469,42.47999954223633,332.94000244140625,52.57550048828125,35.685001373291016,1.534000039100647,67.91000366210938,139.72999572753906,339.7699890136719,26.350000381469727,25.086999893188477,111.18000030517578,14.45199966430664,291.55999755859375,22.293333053588867,78.61000061035156,104.51000213623047,145.38999938964844,64.97666931152344,163.3300018310547,79.23999786376953,52.234500885009766,90.43000030517578,46.25,93.70999908447266,46.43000030517578,12.848999977111816,23.239999771118164,73.73999786376953,45.0099983215332,24.3700008392334,16.739999771118164,27,158.02000427246094,6905.919921875
2019-01-15,38.26750183105469,33.75,199.3800048828125,35.83000183105469,48.599998474121094,92.5199966430664,39.71333312988281,44.3849983215332,68.13999938964844,14,135.8800048828125,90.8499984741211,27.3799991607666,105.01000213623047,242.36000061035156,27.295000076293945,89.48999786376953,44.02000045776367,405.0199890136719,196.00999450683594,186.67999267578125,337.5400085449219,41.95333480834961,55.72999954223633,68.5199966430664,88.47000122070312,64.08000183105469,209.80999755859375,37.505001068115234,344.1499938964844,211.02999877929688,12.34000015258789,95.94999694824219,159.22999572753906,156.16000366210938,106.48999786376953,83.72799682617188,65.98999786376953,36.233001708984375,3.7467501163482666,1698.31005859375,17.84000015258789,171.82000732421875,16.84000015258789,297.1595458984375,87.61000061035156,75.37999725341797,20.3799991607666,132.3300018310547,36.11000061035156,45.27000045776367,21.703332901000977,137.77000427246094,110.18000030517578,33.9900016784668,49.88999938964844,32.660484313964844,108.98999786376953,270.29998779296875,97.62999725341797,42.939998626708984,354.6400146484375,54.32550048828125,36.76250076293945,1.5099999904632568,67.13999938964844,141.1300048828125,350.1000061035156,26.56999969482422,25.64900016784668,112.62000274658203,14.925999641418457,294,22.961999893188477,78.06999969482422,105.01000213623047,148.9499969482422,66.72333526611328,164.47000122070312,80.48999786376953,53.85749816894531,91.5999984741211,46.90999984741211,95.37999725341797,46.20000076293945,13.041000366210938,23.020000457763672,78.4000015258789,45.31999969482422,24.40999984741211,16.59000015258789,27.100000381469727,157.22999572753906,7023.830078125
